"_id","_oexerccompta_id","_otableauposte_id","_oreference_id","totalSoldeDebit","totalSoldeCredit"
"5aee117f5058311d84641b3e","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e713",,
"5aee117f5058311d84641b3f","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e718",,
"5aee117f5058311d84641b40","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f1",,
"5aee117f5058311d84641b41","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f4",,
"5aee117f5058311d84641b42","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f5",,
"5aee117f5058311d84641b43","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f6",,
"5aee117f5058311d84641b44","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f7",,
"5aee117f5058311d84641b45","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f8",,
"5aee117f5058311d84641b46","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6fb",,
"5aee117f5058311d84641b47","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e71b",,
"5aee117f5058311d84641b48","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e71a",,
"5aee117f5058311d84641b49","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e705",,
"5aee117f5058311d84641b4a","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e71d",,
"5aee117f5058311d84641b4b","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e706",,
"5aee117f5058311d84641b4c","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e71c",,
"5aee117f5058311d84641b4d","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e71e",,
"5aee117f5058311d84641b4e","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ad","5aee0efe23b8a2227003e719",,
"5aee117f5058311d84641b4f","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e709",,
"5aee117f5058311d84641b50","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e728",,
"5aee117f5058311d84641b51","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72a",,
"5aee117f5058311d84641b52","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72b",,
"5aee117f5058311d84641b53","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72c",,
"5aee117f5058311d84641b54","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72d",,
"5aee117f5058311d84641b55","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72e",,
"5aee117f5058311d84641b56","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e72f",,
"5aee117f5058311d84641b57","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ac","5aee0efe23b8a2227003e73a",,
"5aee117f5058311d84641b58","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ac","5aee0efe23b8a2227003e73d",,
"5aee117f5058311d84641b59","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ac","5aee0efe23b8a2227003e73e",,
"5aee117f5058311d84641b5a","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ac","5aee0efe23b8a2227003e73f",,
"5aee117f5058311d84641b5b","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ae","5aee0efe23b8a2227003e740",,
"5aee117f5058311d84641b5c","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e733",,
"5aee117f5058311d84641b5d","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ae","5aee0efe23b8a2227003e746",,
"5aee117f5058311d84641b5e","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ab","5aee0efe23b8a2227003e734",,
"5aee117f5058311d84641b5f","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ae","5aee0efe23b8a2227003e747",,
"5aee117f5058311d84641b60","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7ae","5aee0efe23b8a2227003e748",,
"5b08aeec413e382a3054fb16","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6f0",,
"5b3d480d155a50132887f272","5aee0f0023b8a2227003e7b0","5aee0eff23b8a2227003e7aa","5aee0efe23b8a2227003e6ef",,
