"otableauposte_id","TableauName","tableauLongName","ostableauposte_id","StableauName","StbleauLongName","ostblarea_id","AreaShortName","AreaLongName","oreference_id","RefCode","Description","fullDescription","ocompte_id","CompteNumber","Taux","Exception"
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e63e","33",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e63f","382",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e640","383",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e641","388",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e702","BE","En-cours","BE-En-cours","5aee0efd23b8a2227003e642","34",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e702","BE","En-cours","BE-En-cours","5aee0efd23b8a2227003e643","35",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e644","36",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e645","37",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e795","Stocks","Stocks","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e646","386",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e707","BQ","Titres de placement","BQ-Titres de placement","5aee0efd23b8a2227003e647","50",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e708","BR","Valeurs à encaisser","BR-Valeurs à encaisser","5aee0efd23b8a2227003e648","51",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e649","52",1,false
"5aee0eff23b8a2227003e7ad","tblPassif","Bilan Passif","5aee0eff23b8a2227003e7a7","tblBilanPassif","Bilan Passif","5aee0efe23b8a2227003e7a1","TresorPassi","TresorPassi","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e649","52",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e722","DS","Banques, découverts","DS-Banques, découverts","5aee0efd23b8a2227003e649","52",1,false
"5aee0eff23b8a2227003e7ad","tblPassif","Bilan Passif","5aee0eff23b8a2227003e7a7","tblBilanPassif","Bilan Passif","5aee0efe23b8a2227003e7a1","TresorPassi","TresorPassi","5aee0efe23b8a2227003e722","DS","Banques, découverts","DS-Banques, découverts","5aee0efd23b8a2227003e649","52",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e64a","53",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e64b","54",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e64c","57",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e64d","581",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a3","tblBilanActif","Bilan Actif","5aee0efe23b8a2227003e7a0","TresorActif","TresorActif","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e64e","582",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f0","AE","Frais de recherche et de développement","AE-Frais de recherche et de développement","5aee0efd23b8a2227003e64f","2919",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e64f","2919",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f3","AH","Autres immobilisations incorporelles","AH-Autres immobilisations incorporelles","5aee0efd23b8a2227003e64f","2919",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e650","2912",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e651","2913",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f1","AF","Brevets","AF-Brevets","5aee0efd23b8a2227003e652","2914",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f2","AG","Fonds commercial","AG-Fonds commercial","5aee0efd23b8a2227003e653","2915",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f2","AG","Fonds commercial","AG-Fonds commercial","5aee0efd23b8a2227003e654","2916",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f3","AH","Autres immobilisations incorporelles","AH-Autres immobilisations incorporelles","5aee0efd23b8a2227003e655","2917",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f3","AH","Autres immobilisations incorporelles","AH-Autres immobilisations incorporelles","5aee0efd23b8a2227003e656","2918",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f4","AJ","Terrains","AJ-Terrains","5aee0efd23b8a2227003e657","292",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e658","2931",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e659","2932",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e65a","2933",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e65b","2937",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f5","AK","Bâtiments","AK-Bâtiments","5aee0efd23b8a2227003e65c","2939",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f6","AL","Installations et agencements","AL-Installations et agencements","5aee0efd23b8a2227003e65c","2939",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f7","AM","Matériel","AM-Matériel","5aee0efd23b8a2227003e65d","294",1,true
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f7","AM","Matériel","AM-Matériel","5aee0efd23b8a2227003e65e","2949",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f8","AN","Matériel de transport","AN-Matériel de transport","5aee0efd23b8a2227003e65e","2949",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f8","AN","Matériel de transport","AN-Matériel de transport","5aee0efd23b8a2227003e65f","2945",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6f9","AP","Avances et acomptes versés sur immobilisations","AP-Avances et acomptes versés sur immobilisations","5aee0efd23b8a2227003e660","295",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6fa","AR","Titres de participation","AR-Titres de participation","5aee0efd23b8a2227003e661","296",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6fb","AS","Autres immobilisations financières","AS-Autres immobilisations financières","5aee0efd23b8a2227003e662","297",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e6ff","BA","Actif circulant h.a.o.","BA-Actif circulant h.a.o.","5aee0efd23b8a2227003e663","498",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e700","BC","Marchandises","BC-Marchandises","5aee0efd23b8a2227003e664","391",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e700","BC","Marchandises","BC-Marchandises","5aee0efd23b8a2227003e665","3981",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e666","392",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e667","393",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e701","BD","Matières premières et autres approvisionnements","BD-Matières premières et autres approvisionnements","5aee0efd23b8a2227003e668","398",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e668","398",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e702","BE","En-cours","BE-En-cours","5aee0efd23b8a2227003e669","394",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e702","BE","En-cours","BE-En-cours","5aee0efd23b8a2227003e66a","395",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e66b","396",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e703","BF","Produits fabriqués","BF-Produits fabriqués","5aee0efd23b8a2227003e66c","397",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e704","BH","Fournisseurs avances versées","BH-Fournisseurs avances versées","5aee0efd23b8a2227003e66d","490",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e705","BI","Clients","BI-Clients","5aee0efd23b8a2227003e66e","491",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e706","BJ","Autres créances","BJ-Autres créances","5aee0efd23b8a2227003e66f","492",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e706","BJ","Autres créances","BJ-Autres créances","5aee0efd23b8a2227003e670","493",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e706","BJ","Autres créances","BJ-Autres créances","5aee0efd23b8a2227003e671","495",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e706","BJ","Autres créances","BJ-Autres créances","5aee0efd23b8a2227003e672","496",1,false
