"_otableauposte_id","_oexerccompta_id","_oreference_id","SoldeCredit","SoldeDebit"
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",3910250,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",334000,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820b",213244238,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820c",4083834,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820c",39157409,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",6011615,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",28077592,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",2864994,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",11239459,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",1215650,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",22509120,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",4986737,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",151000,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820e",38899905,0
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,219500
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,15607478
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,3850000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,543250
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,505918
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,798974
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,433368
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,61586
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,132500
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,30500
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",0,11000000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,126651473
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,218309985
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,374231552
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,386937699
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,155424458
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,187524500
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,410401210
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,131548751
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,128440725
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,44199806
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,90588940
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,49996575
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,34155070
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,39800936
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,1562224
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,6428240
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,3458980
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,4320000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821c",0,5275208
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820a",0,124848000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820b",0,264417240
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820c",0,6965000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820c",0,65869007
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820b",0,25000000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,9640532
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,58665248
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,3671422
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,24932695
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,1764000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,27553226
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,6000570
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,452000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820d",0,58800
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c820e",0,63965684
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8211",0,248000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8211",0,60000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8211",0,200000
