"_oexerccompta_id","_otableauposte_id","_oreference_id","SoldeDebit","SoldeCredit"
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a43e",47597760,4244250
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a442",289417240,213244238
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a443",72834007,43241243
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a444",132738493,77056167
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a445",63965684,38899905
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a452",33183074,13450000
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a453",2399256332,0
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a441",124848000,0
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a448",508000,0
"5ad3c054af2f1c1a5075a4fd","5ad3c053af2f1c1a5075a4f7","5ad3c052af2f1c1a5075a456",78257703,0
